IND, PLAYER, TEAM, AGE, GP, W, L, MIN, PTS_OFF_TO, 2ND_PTS, FBPS, PITP, OPP_PTS_OFF_TO, OPP_2ND_PTS, OPP_FBPS, OPP_PITP, BLK, BLKA, PF, PFD
1, Buddy Hield , PHI, 31, 69, 36, 33, 26.8, 2.6, 1.1, 2.6, 3.2, 9.1, 8.1, 8.2, 31.9, 0.5, 0.4, 2.1, 0.4
2, Andre Drummond , CHI, 30, 68, 33, 35, 17.0, 1.3, 3.4, 0.3, 6.7, 5.7, 5.0, 4.6, 15.3, 0.6, 0.6, 1.8, 2.3
2, Austin Reaves , LAL, 25, 68, 36, 32, 31.8, 1.9, 0.8, 2.4, 6.1, 10.8, 9.4, 10.8, 33.8, 0.2, 0.6, 1.8, 2.8
2, Bobby Portis , MIL, 29, 68, 44, 24, 24.0, 1.5, 2.2, 1.0, 6.2, 6.8, 6.7, 6.8, 26.4, 0.4, 0.3, 2.3, 1.3
2, Christian Braun , DEN, 22, 68, 47, 21, 19.2, 1.3, 0.6, 1.7, 3.6, 6.6, 5.9, 4.8, 19.2, 0.4, 0.6, 1.7, 1.1
2, Dennis Schroder , BKN, 30, 68, 24, 44, 30.6, 1.7, 1.1, 0.9, 4.6, 9.6, 8.8, 9.0, 32.9, 0.2, 0.8, 2.0, 2.3
2, Jeremy Sochan , SAS, 20, 68, 15, 53, 29.7, 1.4, 1.6, 1.6, 6.9, 12.0, 8.6, 9.0, 34.9, 0.5, 0.9, 2.4, 1.8
2, Mikal Bridges , BKN, 27, 68, 26, 42, 35.3, 2.8, 1.9, 2.6, 7.4, 10.9, 10.1, 11.3, 35.9, 0.4, 0.7, 1.5, 3.5
2, Obi Toppin , IND, 26, 68, 38, 30, 21.8, 1.7, 1.4, 2.1, 5.6, 7.6, 6.2, 7.1, 28.2, 0.5, 0.4, 1.8, 1.1
2, Reggie Jackson , DEN, 33, 68, 47, 21, 21.9, 1.2, 0.5, 0.9, 4.4, 7.6, 6.0, 5.5, 22.1, 0.1, 0.4, 1.7, 1.1
11, Cason Wallace , OKC, 20, 67, 47, 20, 20.5, 1.2, 0.5, 1.3, 2.4, 6.9, 6.9, 4.8, 21.0, 0.4, 0.3, 1.6, 0.5
11, Chet Holmgren , OKC, 21, 67, 47, 20, 30.2, 2.2, 2.1, 1.4, 8.5, 8.6, 10.3, 7.9, 29.4, 2.5, 0.8, 2.4, 3.0
11, Cole Anthony , ORL, 23, 67, 40, 27, 22.9, 1.8, 1.0, 1.2, 4.6, 7.9, 6.1, 6.5, 22.4, 0.4, 0.4, 2.4, 2.3
11, Collin Sexton , UTA, 25, 67, 29, 38, 25.7, 3.1, 1.9, 3.4, 8.3, 10.0, 7.0, 9.4, 27.1, 0.2, 1.4, 2.0, 3.8
11, Georges Niang , CLE, 30, 67, 42, 25, 21.9, 0.7, 0.7, 1.0, 2.8, 7.7, 6.1, 6.6, 21.1, 0.2, 0.2, 2.3, 0.7
11, Jalen Green , HOU, 22, 67, 32, 35, 31.1, 2.8, 1.0, 3.1, 7.1, 9.2, 8.7, 7.3, 31.6, 0.3, 1.4, 1.3, 3.3
11, Jonas Valanciunas , NOP, 31, 67, 41, 26, 24.6, 1.0, 3.1, 0.3, 7.8, 7.6, 6.3, 7.4, 23.4, 1.0, 0.7, 2.7, 2.4
11, Michael Porter Jr. , DEN, 25, 67, 47, 20, 31.7, 2.6, 2.2, 2.5, 4.7, 9.6, 7.9, 9.4, 33.7, 0.7, 0.4, 1.9, 1.2
11, Naz Reid , MIN, 24, 67, 46, 21, 23.6, 1.9, 1.7, 1.5, 5.5, 7.9, 6.7, 6.4, 22.2, 0.9, 0.7, 2.1, 1.3
11, Nickeil Alexander-Walker , MIN, 25, 67, 46, 21, 23.4, 1.0, 0.7, 0.9, 2.2, 7.5, 5.9, 6.1, 22.0, 0.5, 0.3, 1.8, 1.0
11, Ochai Agbaji , TOR, 23, 67, 29, 38, 19.8, 0.7, 0.6, 1.3, 2.4, 7.7, 6.6, 6.3, 21.9, 0.5, 0.5, 1.4, 0.5
11, Paul Reed , PHI, 24, 67, 37, 30, 19.0, 1.0, 2.0, 0.3, 5.1, 5.3, 5.6, 6.0, 20.6, 1.0, 0.4, 2.4, 1.1
11, Payton Pritchard , BOS, 26, 67, 53, 14, 20.7, 0.9, 1.1, 1.1, 2.0, 5.6, 5.3, 5.3, 20.2, 0.1, 0.3, 1.2, 0.6
24, Ayo Dosunmu , CHI, 24, 66, 33, 33, 28.0, 2.2, 1.0, 2.6, 5.1, 9.2, 7.7, 7.7, 26.9, 0.5, 0.7, 2.1, 1.0
24, Coby White , CHI, 24, 66, 32, 34, 36.7, 3.3, 1.5, 3.3, 6.9, 11.7, 10.0, 9.7, 34.6, 0.2, 0.9, 2.4, 4.0
24, Corey Kispert , WAS, 25, 66, 11, 55, 23.4, 1.8, 0.8, 1.8, 4.4, 8.8, 8.2, 7.3, 28.7, 0.2, 0.6, 1.7, 1.4
24, DeMar DeRozan , CHI, 34, 66, 32, 34, 37.7, 3.1, 1.9, 0.9, 8.0, 11.8, 10.2, 9.8, 35.1, 0.6, 0.9, 2.1, 5.4
24, Domantas Sabonis , SAC, 27, 66, 38, 28, 35.9, 2.4, 3.5, 1.4, 14.7, 12.3, 7.8, 8.9, 37.6, 0.6, 1.0, 3.1, 4.5
24, Donte DiVincenzo , NYK, 27, 66, 40, 26, 26.9, 2.6, 1.8, 2.2, 3.5, 8.5, 6.8, 8.2, 26.2, 0.4, 0.4, 2.0, 1.4
24, Harrison Barnes , SAC, 31, 66, 38, 28, 29.4, 1.5, 1.1, 1.1, 4.1, 10.1, 6.4, 7.5, 31.8, 0.2, 0.3, 1.3, 1.9
24, Jordan Poole , WAS, 24, 66, 11, 55, 29.1, 2.7, 0.9, 2.8, 6.2, 9.7, 10.5, 9.4, 36.5, 0.4, 0.9, 3.2, 2.6
24, Josh Giddey , OKC, 21, 66, 47, 19, 24.5, 1.6, 1.1, 1.8, 6.8, 7.2, 8.3, 6.8, 25.4, 0.5, 0.9, 1.3, 1.1
24, Josh Hart , NYK, 29, 66, 39, 27, 32.1, 1.5, 1.0, 1.8, 4.5, 9.4, 7.8, 8.9, 30.4, 0.3, 0.6, 2.0, 1.5
24, Kelly Olynyk , TOR, 32, 66, 29, 37, 21.3, 1.0, 1.8, 0.9, 4.6, 9.4, 7.0, 7.3, 23.3, 0.3, 0.3, 2.8, 2.2
24, Moritz Wagner , ORL, 26, 66, 39, 27, 18.1, 1.8, 1.8, 0.4, 7.4, 6.3, 4.5, 5.7, 18.0, 0.3, 0.5, 2.0, 2.5
24, Nikola Jokic , DEN, 29, 66, 46, 20, 34.3, 2.6, 4.0, 0.9, 16.4, 10.7, 8.2, 10.4, 36.7, 0.9, 0.7, 2.5, 5.3
24, Paolo Banchero , ORL, 21, 66, 39, 27, 34.9, 3.8, 2.4, 3.0, 9.9, 11.8, 9.2, 10.7, 35.5, 0.6, 1.2, 2.0, 4.8
24, Pascal Siakam , IND, 29, 66, 29, 37, 33.9, 2.5, 2.7, 3.1, 12.7, 10.6, 9.6, 9.2, 38.4, 0.3, 0.5, 2.4, 4.1
24, Peyton Watson , DEN, 21, 66, 46, 20, 18.4, 1.1, 0.4, 1.6, 3.6, 6.6, 5.8, 4.8, 19.1, 1.0, 0.4, 1.7, 1.0
24, Sam Hauser , BOS, 26, 66, 53, 13, 21.2, 1.1, 1.3, 1.2, 0.9, 5.8, 5.8, 4.7, 20.6, 0.3, 0.1, 1.3, 0.2
24, Shai Gilgeous-Alexander , OKC, 25, 66, 47, 19, 34.5, 5.2, 1.7, 3.5, 14.8, 9.8, 10.8, 8.5, 32.7, 0.9, 1.0, 2.5, 6.6
24, Simone Fontecchio , DET, 28, 66, 29, 37, 24.9, 1.5, 1.4, 1.3, 3.3, 8.7, 6.5, 9.2, 27.2, 0.3, 0.5, 1.7, 0.9
24, Tyus Jones , WAS, 27, 66, 11, 55, 29.3, 2.0, 0.7, 2.1, 5.5, 10.1, 10.8, 10.1, 38.6, 0.3, 0.3, 0.7, 0.7
44, Brook Lopez , MIL, 35, 65, 43, 22, 31.0, 0.8, 1.6, 0.2, 5.2, 9.7, 8.8, 9.6, 33.5, 2.5, 0.2, 2.4, 1.5
44, Jonathan Kuminga , GSW, 21, 65, 34, 31, 26.1, 2.3, 1.7, 2.6, 10.0, 8.9, 7.1, 8.1, 27.6, 0.5, 1.0, 2.2, 3.0
44, Kyle Kuzma , WAS, 28, 65, 11, 54, 32.2, 3.4, 1.4, 4.0, 11.3, 10.5, 11.9, 10.4, 41.5, 0.7, 0.7, 2.2, 2.8
44, Luguentz Dort , OKC, 24, 65, 45, 20, 28.6, 1.8, 1.0, 1.5, 3.0, 8.4, 9.1, 7.8, 27.3, 0.6, 0.4, 3.0, 2.0
44, Malik Beasley , MIL, 27, 65, 41, 24, 29.7, 2.0, 1.4, 1.5, 2.0, 8.7, 8.4, 9.0, 32.5, 0.1, 0.4, 2.0, 0.5
44, Malik Monk , SAC, 26, 65, 38, 27, 26.2, 2.0, 1.3, 2.4, 5.6, 9.1, 6.4, 6.4, 26.4, 0.6, 0.8, 2.1, 2.3
44, Norman Powell , LAC, 30, 65, 41, 24, 26.0, 2.1, 1.5, 1.8, 4.5, 8.7, 7.6, 8.3, 26.9, 0.3, 0.4, 1.9, 2.0
44, Royce O'Neale , PHX, 30, 65, 28, 37, 25.4, 1.4, 0.9, 0.9, 1.2, 9.5, 7.1, 8.0, 24.2, 0.6, 0.2, 2.3, 0.6
44, Taurean Prince , LAL, 29, 65, 34, 31, 28.3, 1.2, 0.3, 1.4, 2.5, 9.7, 9.1, 10.1, 30.7, 0.5, 0.3, 2.0, 0.8
44, Tim Hardaway Jr. , DAL, 32, 65, 38, 27, 27.9, 2.2, 1.8, 2.3, 2.9, 8.6, 9.2, 8.7, 30.6, 0.1, 0.4, 1.4, 2.3
54, Aaron Holiday , HOU, 27, 64, 31, 33, 16.3, 0.8, 0.7, 0.5, 1.9, 5.1, 4.6, 3.8, 15.8, 0.1, 0.2, 1.6, 0.8
54, Aaron Wiggins , OKC, 25, 64, 46, 18, 14.4, 1.0, 1.0, 0.8, 3.2, 4.1, 5.2, 3.3, 14.3, 0.2, 0.3, 1.1, 0.6
54, Anthony Davis , LAL, 31, 64, 35, 29, 35.6, 3.3, 4.5, 1.9, 15.8, 11.9, 10.7, 11.5, 36.7, 2.4, 1.2, 2.3, 5.4
54, Anthony Edwards , MIN, 22, 64, 44, 20, 35.1, 4.1, 1.7, 4.1, 10.8, 11.8, 9.1, 9.3, 33.9, 0.6, 0.8, 1.9, 4.3
54, Bogdan Bogdanovic , ATL, 31, 64, 29, 35, 29.7, 2.5, 1.8, 2.8, 4.3, 9.6, 7.9, 9.6, 31.2, 0.3, 0.7, 2.3, 1.4
54, Cedi Osman , SAS, 28, 64, 14, 50, 17.4, 0.9, 0.5, 1.1, 2.6, 6.6, 5.6, 5.6, 19.7, 0.1, 0.3, 1.5, 1.0
54, Dejounte Murray , ATL, 27, 64, 28, 36, 35.4, 2.9, 1.7, 2.7, 9.0, 12.4, 10.8, 12.4, 40.5, 0.3, 0.9, 1.7, 2.6
54, Giannis Antetokounmpo , MIL, 29, 64, 41, 23, 35.0, 3.9, 3.6, 5.4, 20.0, 10.5, 9.4, 9.0, 37.1, 1.0, 1.3, 2.9, 8.4
54, Grant Williams , CHA, 25, 64, 31, 33, 27.5, 1.4, 1.4, 1.0, 3.0, 9.0, 8.2, 9.2, 31.1, 0.5, 0.4, 2.9, 2.0
54, Jayson Tatum , BOS, 26, 64, 51, 13, 35.7, 4.3, 2.1, 3.2, 9.5, 9.4, 10.1, 9.4, 35.7, 0.6, 0.8, 2.0, 4.6
54, Jevon Carter , CHI, 28, 64, 31, 33, 13.7, 0.8, 0.4, 0.7, 0.8, 3.9, 4.2, 3.5, 12.1, 0.2, 0.1, 1.0, 0.2
54, Jusuf Nurkic , PHX, 29, 64, 39, 25, 27.3, 1.5, 2.4, 0.3, 8.2, 9.8, 6.6, 7.9, 28.4, 1.0, 0.7, 3.4, 3.0
54, Kyle Anderson , MIN, 30, 64, 45, 19, 22.5, 0.7, 0.7, 0.5, 4.2, 7.9, 6.0, 6.1, 21.0, 0.5, 0.3, 1.6, 1.2
54, Myles Turner , IND, 27, 64, 36, 28, 27.4, 1.7, 2.5, 1.2, 8.4, 8.7, 7.6, 7.3, 33.7, 1.8, 0.6, 3.1, 3.5
54, Toumani Camara , POR, 23, 64, 19, 45, 24.5, 1.2, 2.1, 1.3, 3.8, 9.7, 7.1, 8.6, 26.1, 0.5, 0.4, 2.5, 1.6
69, Alperen Sengun , HOU, 21, 63, 29, 34, 32.5, 2.8, 3.2, 1.0, 14.7, 9.3, 9.2, 7.3, 31.8, 0.7, 1.2, 3.3, 5.2
69, Ausar Thompson , DET, 21, 63, 10, 53, 25.1, 1.4, 1.4, 1.7, 6.2, 9.8, 6.9, 7.7, 26.3, 0.9, 0.5, 2.8, 1.9
69, Bilal Coulibaly , WAS, 19, 63, 11, 52, 27.2, 1.4, 0.6, 1.7, 3.7, 9.9, 10.0, 8.8, 34.6, 0.8, 0.7, 2.2, 1.6
69, Cameron Payne , PHI, 29, 63, 36, 27, 16.3, 0.8, 0.4, 0.6, 2.2, 4.3, 5.0, 4.1, 16.9, 0.1, 0.3, 1.6, 0.9
69, D'Angelo Russell , LAL, 28, 63, 36, 27, 32.1, 2.5, 0.9, 2.6, 5.9, 9.7, 10.7, 10.2, 35.5, 0.5, 0.4, 2.1, 2.3
69, Damian Lillard , MIL, 33, 63, 44, 19, 35.1, 2.7, 1.5, 2.0, 7.0, 10.9, 9.5, 10.8, 39.1, 0.2, 1.2, 1.7, 5.0
69, Deni Avdija , WAS, 23, 63, 11, 52, 29.1, 1.6, 1.3, 2.7, 7.7, 10.8, 10.0, 9.2, 36.6, 0.4, 0.9, 2.5, 3.1
69, Derrick Jones Jr. , DAL, 27, 63, 36, 27, 23.6, 1.4, 1.1, 1.3, 4.2, 7.9, 7.0, 8.1, 26.3, 0.6, 0.3, 1.6, 1.6
69, Isaiah Joe , OKC, 24, 63, 44, 19, 18.4, 1.5, 0.9, 1.2, 1.3, 6.3, 5.6, 4.1, 16.4, 0.3, 0.2, 1.1, 1.1
69, Jaden Ivey , DET, 22, 63, 12, 51, 28.6, 2.0, 1.4, 3.1, 6.6, 11.9, 8.1, 8.2, 32.8, 0.6, 1.1, 2.8, 3.1
69, Jeff Green , HOU, 37, 63, 30, 33, 16.3, 0.8, 0.5, 0.4, 2.5, 5.1, 4.4, 3.9, 16.9, 0.4, 0.2, 1.3, 1.4
69, Keldon Johnson , SAS, 24, 63, 15, 48, 29.6, 2.2, 2.1, 2.2, 7.4, 10.7, 9.5, 8.9, 33.6, 0.3, 0.8, 2.2, 2.4
69, Kevin Huerter , SAC, 25, 63, 36, 27, 24.8, 1.6, 0.8, 1.7, 3.6, 7.9, 5.8, 6.0, 27.2, 0.4, 0.2, 2.1, 0.7
69, Klay Thompson , GSW, 34, 63, 32, 31, 29.6, 2.2, 2.0, 2.1, 2.9, 10.6, 8.1, 9.2, 32.5, 0.5, 0.3, 1.7, 1.3
69, Malaki Branham , SAS, 20, 63, 13, 50, 20.5, 1.6, 0.7, 1.0, 3.8, 8.2, 6.5, 6.3, 23.9, 0.1, 0.6, 1.2, 0.8
69, Matisse Thybulle , POR, 27, 63, 18, 45, 23.4, 0.9, 0.7, 1.0, 1.4, 9.3, 7.6, 8.4, 26.7, 0.8, 0.2, 1.5, 0.7
69, Nikola Vucevic , CHI, 33, 63, 31, 32, 34.5, 2.1, 2.7, 0.3, 10.5, 11.1, 9.3, 9.1, 32.2, 0.8, 0.7, 2.6, 1.9
69, Patrick Beverley , MIL, 35, 63, 38, 25, 19.6, 0.8, 0.7, 0.4, 2.5, 6.0, 5.9, 5.4, 18.7, 0.4, 0.2, 1.8, 1.2
69, Rudy Gobert , MIN, 31, 63, 44, 19, 33.9, 1.9, 4.2, 0.7, 10.4, 11.9, 8.9, 9.1, 30.8, 2.1, 0.8, 3.1, 5.0
69, Saddiq Bey , ATL, 24, 63, 28, 35, 32.7, 2.3, 3.1, 2.0, 5.3, 11.1, 9.7, 10.9, 38.1, 0.2, 0.8, 1.4, 2.2
69, Tre Jones , SAS, 24, 63, 14, 49, 26.8, 1.6, 0.8, 1.6, 5.7, 10.2, 8.0, 7.4, 30.3, 0.1, 0.4, 1.2, 1.9
90, Aaron Gordon , DEN, 28, 62, 42, 20, 31.4, 1.5, 2.3, 1.8, 9.5, 10.4, 8.0, 9.4, 34.4, 0.6, 0.7, 2.0, 3.0
90, Derrick White , BOS, 29, 62, 50, 12, 32.3, 1.8, 1.5, 1.8, 5.0, 8.5, 9.2, 8.4, 32.4, 1.3, 0.4, 2.1, 2.1
90, Devin Vassell , SAS, 23, 62, 14, 48, 32.8, 2.1, 1.3, 3.0, 6.5, 13.3, 10.0, 9.8, 39.3, 0.4, 0.5, 1.1, 2.3
90, Drew Eubanks , PHX, 27, 62, 33, 29, 15.6, 0.4, 1.0, 0.1, 4.2, 5.8, 5.2, 5.3, 14.9, 0.8, 0.3, 1.5, 1.1
90, Duncan Robinson , MIA, 29, 62, 35, 27, 28.6, 2.4, 1.0, 1.7, 3.5, 8.9, 7.9, 7.5, 27.4, 0.2, 0.4, 2.3, 1.2
90, Grayson Allen , PHX, 28, 62, 36, 26, 33.8, 1.5, 1.3, 1.8, 3.4, 12.7, 9.9, 9.9, 35.9, 0.6, 0.3, 2.2, 1.9
90, Immanuel Quickley , TOR, 24, 62, 26, 36, 28.9, 2.7, 1.2, 3.2, 5.0, 8.7, 8.0, 7.9, 30.0, 0.1, 0.6, 1.6, 2.6
90, Jabari Smith Jr. , HOU, 20, 62, 31, 31, 32.0, 1.6, 2.4, 1.8, 4.9, 9.3, 9.0, 7.2, 32.0, 0.8, 0.8, 2.7, 1.8
90, Jalen Brunson , NYK, 27, 62, 39, 23, 35.2, 3.4, 1.8, 2.4, 10.7, 10.6, 8.9, 11.2, 35.2, 0.2, 0.8, 1.9, 6.0
90, Jarrett Allen , CLE, 25, 62, 40, 22, 31.6, 1.8, 3.2, 1.1, 12.5, 11.0, 8.3, 9.2, 30.7, 1.2, 1.0, 2.1, 4.4
90, John Collins , UTA, 26, 62, 27, 35, 28.3, 1.9, 2.8, 1.5, 8.5, 10.6, 7.6, 11.1, 31.2, 1.0, 1.0, 2.8, 2.3
90, Kentavious Caldwell-Pope , DEN, 31, 62, 44, 18, 31.6, 1.8, 0.7, 2.1, 2.4, 10.0, 8.4, 9.5, 33.8, 0.5, 0.2, 1.9, 1.4
90, Kevon Looney , GSW, 28, 62, 33, 29, 16.9, 0.5, 1.4, 0.2, 3.7, 6.5, 4.2, 5.9, 17.4, 0.4, 0.4, 2.2, 1.0
90, Mike Conley , MIN, 36, 62, 44, 18, 28.9, 1.3, 0.6, 1.3, 2.5, 10.5, 7.9, 8.0, 28.1, 0.2, 0.2, 1.6, 1.5
90, Pat Connaughton , MIL, 31, 62, 40, 22, 21.8, 0.9, 0.4, 0.4, 1.6, 6.5, 5.9, 6.5, 23.4, 0.3, 0.1, 1.2, 0.8
90, Spencer Dinwiddie , LAL, 30, 62, 27, 35, 29.1, 0.8, 0.9, 1.0, 3.5, 8.2, 8.4, 8.9, 30.0, 0.2, 0.3, 1.8, 2.0
106, Anthony Black , ORL, 20, 61, 34, 27, 17.9, 1.0, 0.7, 0.9, 2.1, 6.8, 4.2, 6.0, 18.5, 0.3, 0.3, 1.8, 1.2
106, Brandon Ingram , NOP, 26, 61, 37, 24, 33.2, 3.0, 1.4, 1.7, 7.9, 10.6, 8.6, 9.7, 32.4, 0.6, 0.8, 2.3, 3.9
106, Brandon Miller , CHA, 21, 61, 15, 46, 31.9, 2.3, 1.3, 2.7, 5.5, 11.3, 9.4, 8.9, 36.4, 0.6, 0.6, 2.6, 2.6
106, Daniel Gafford , DAL, 25, 61, 19, 42, 24.7, 1.4, 2.9, 0.7, 9.0, 8.3, 8.9, 8.0, 28.7, 2.1, 0.5, 3.1, 2.2
106, Dario Saric , GSW, 29, 61, 32, 29, 17.6, 0.9, 1.0, 0.4, 3.1, 6.6, 4.4, 5.1, 18.7, 0.1, 0.4, 1.8, 1.5
106, Gary Trent Jr. , TOR, 25, 61, 22, 39, 27.5, 2.0, 1.0, 2.5, 2.8, 9.0, 8.6, 7.9, 32.0, 0.2, 0.3, 1.3, 1.0
106, Herbert Jones , NOP, 25, 61, 38, 23, 29.4, 2.3, 1.4, 2.5, 4.6, 9.1, 7.6, 8.0, 28.0, 0.9, 0.5, 2.9, 1.8
106, Isaiah Hartenstein , NYK, 25, 61, 38, 23, 24.9, 0.7, 2.1, 0.4, 5.4, 7.1, 6.0, 7.7, 24.1, 1.1, 0.4, 2.8, 1.7
106, Jaime Jaquez Jr. , MIA, 23, 61, 36, 25, 29.4, 2.0, 1.3, 1.9, 7.4, 9.6, 8.3, 7.8, 28.5, 0.2, 0.9, 2.3, 1.9
106, Jalen Suggs , ORL, 22, 61, 36, 25, 26.6, 2.5, 1.4, 2.0, 3.9, 9.9, 6.6, 8.3, 26.9, 0.6, 0.3, 2.8, 2.2
106, Jrue Holiday , BOS, 33, 61, 48, 13, 33.1, 1.4, 1.2, 1.8, 4.9, 9.2, 9.4, 8.9, 32.0, 0.8, 0.4, 1.6, 1.3
106, Kawhi Leonard , LAC, 32, 61, 39, 22, 34.3, 3.7, 2.4, 2.8, 10.4, 10.1, 9.6, 9.5, 33.6, 0.9, 0.4, 1.4, 4.2
106, Keegan Murray , SAC, 23, 61, 35, 26, 33.0, 2.4, 2.1, 2.4, 5.4, 11.5, 7.0, 7.9, 34.1, 0.7, 0.6, 2.7, 1.3
106, Kevin Durant , PHX, 35, 61, 34, 27, 37.3, 3.7, 2.1, 3.5, 9.0, 14.3, 11.3, 11.5, 40.0, 1.2, 0.7, 1.8, 5.3
106, Paul George , LAC, 33, 61, 39, 22, 34.2, 3.4, 1.6, 2.3, 5.7, 10.1, 9.3, 9.5, 33.7, 0.5, 0.7, 2.8, 3.0
106, Terance Mann , LAC, 27, 61, 39, 22, 25.4, 1.3, 1.0, 2.0, 4.2, 8.8, 7.0, 7.4, 26.2, 0.2, 0.3, 1.9, 1.0
122, Franz Wagner , ORL, 22, 60, 37, 23, 32.9, 3.5, 2.2, 2.7, 11.6, 10.0, 7.6, 9.8, 31.7, 0.4, 1.1, 2.4, 3.8
122, Fred VanVleet , HOU, 30, 60, 31, 29, 36.8, 2.4, 1.5, 2.7, 2.9, 10.8, 9.6, 7.6, 35.7, 0.8, 0.4, 2.3, 2.5
122, Jaden Hardy , DAL, 21, 60, 34, 26, 14.0, 1.3, 0.6, 1.3, 2.5, 5.1, 4.4, 4.7, 15.2, 0.1, 0.4, 1.0, 1.1
122, Jalen Williams , OKC, 22, 60, 42, 18, 31.7, 3.7, 1.6, 2.8, 9.9, 9.1, 10.4, 8.2, 31.5, 0.6, 0.8, 2.6, 2.6
122, James Harden , LAC, 34, 60, 38, 22, 34.7, 2.1, 1.0, 1.9, 4.0, 10.7, 9.3, 9.9, 35.1, 0.9, 0.6, 1.9, 3.4
122, Jaylen Brown , BOS, 27, 60, 46, 14, 33.4, 3.4, 2.2, 4.3, 11.5, 9.4, 9.7, 9.5, 33.7, 0.5, 1.0, 2.7, 3.4
122, Julian Champagnie , SAS, 22, 60, 12, 48, 17.6, 0.7, 0.6, 0.8, 1.2, 6.9, 4.9, 5.4, 20.6, 0.5, 0.2, 1.0, 0.8
122, Karl-Anthony Towns , MIN, 28, 60, 41, 19, 32.8, 3.1, 2.5, 1.1, 10.1, 11.0, 8.5, 8.8, 32.3, 0.7, 1.1, 3.3, 4.3
122, Keyonte George , UTA, 20, 60, 25, 35, 26.0, 1.6, 0.8, 1.7, 3.4, 10.4, 7.4, 10.7, 28.9, 0.1, 0.7, 1.2, 2.7
122, Max Strus , CLE, 27, 60, 39, 21, 32.2, 2.3, 1.6, 2.0, 3.8, 11.1, 8.8, 9.5, 30.8, 0.5, 0.6, 2.6, 1.7
122, P.J. Washington , DAL, 25, 60, 19, 41, 29.9, 2.0, 1.6, 1.5, 6.1, 10.4, 8.6, 8.5, 32.0, 0.8, 0.6, 2.4, 1.7
122, Precious Achiuwa , NYK, 24, 60, 31, 29, 23.0, 1.3, 2.2, 0.9, 6.0, 7.3, 6.4, 6.7, 23.1, 1.0, 0.5, 2.0, 1.2
122, Scottie Barnes , TOR, 22, 60, 22, 38, 34.9, 2.6, 2.8, 3.1, 10.1, 11.4, 10.8, 9.0, 38.8, 1.5, 0.8, 2.0, 3.6
122, Stephen Curry , GSW, 36, 60, 34, 26, 32.8, 3.8, 2.4, 2.4, 5.9, 12.4, 8.7, 11.2, 35.1, 0.4, 0.7, 1.7, 3.8
122, Tobias Harris , PHI, 31, 60, 35, 25, 33.8, 2.5, 1.8, 3.0, 9.2, 9.6, 9.4, 10.9, 36.2, 0.6, 1.1, 1.6, 2.4
122, Victor Wembanyama , SAS, 20, 60, 14, 46, 29.0, 3.0, 2.8, 2.5, 9.9, 11.4, 7.7, 8.6, 31.6, 3.5, 0.4, 2.2, 5.2
138, Aaron Nesmith , IND, 24, 59, 33, 26, 27.2, 2.3, 1.5, 2.1, 4.3, 9.0, 8.6, 6.8, 31.6, 0.7, 0.7, 3.3, 2.1
138, Alex Caruso , CHI, 30, 59, 29, 30, 27.8, 1.7, 0.8, 1.5, 3.3, 8.8, 7.8, 7.1, 24.5, 1.1, 0.3, 2.5, 1.9
138, Bennedict Mathurin , IND, 21, 59, 33, 26, 26.1, 2.5, 1.5, 2.3, 6.1, 9.9, 9.0, 7.7, 33.4, 0.2, 1.3, 2.0, 2.8
138, Clint Capela , ATL, 29, 59, 27, 32, 25.4, 1.6, 4.1, 0.7, 9.5, 8.7, 7.6, 9.6, 28.8, 1.5, 1.0, 2.4, 2.3
138, David Roddy , PHX, 22, 59, 20, 39, 19.6, 1.1, 1.0, 1.1, 3.8, 7.4, 6.1, 5.5, 20.5, 0.2, 0.6, 1.2, 0.9
138, Dorian Finney-Smith , BKN, 30, 59, 23, 36, 28.5, 1.3, 1.1, 1.5, 2.8, 8.6, 7.9, 8.2, 28.6, 0.6, 0.3, 2.3, 0.7
138, LeBron James , LAL, 39, 59, 31, 28, 35.2, 3.6, 1.6, 5.1, 13.3, 12.2, 11.1, 11.5, 37.3, 0.6, 0.8, 1.2, 4.2
138, Luka Doncic , DAL, 25, 59, 36, 23, 37.4, 4.5, 2.4, 3.1, 11.6, 11.6, 10.7, 12.8, 40.4, 0.6, 0.7, 2.1, 6.8
146, Alec Burks , NYK, 32, 58, 14, 44, 19.3, 0.9, 1.3, 1.0, 1.8, 7.9, 5.7, 5.6, 21.7, 0.2, 0.3, 1.3, 2.1
146, Brandin Podziemski , GSW, 21, 58, 30, 28, 27.1, 1.6, 1.2, 1.2, 4.8, 9.3, 8.0, 8.0, 27.5, 0.2, 0.5, 1.7, 1.8
146, De'Aaron Fox , SAC, 26, 58, 34, 24, 35.7, 3.9, 2.4, 3.4, 12.0, 12.0, 7.9, 9.2, 36.6, 0.4, 1.0, 2.6, 4.8
146, Dillon Brooks , HOU, 28, 58, 28, 30, 31.2, 1.5, 1.4, 2.1, 4.8, 10.0, 8.7, 6.8, 31.1, 0.1, 0.4, 3.3, 1.7
146, Isaac Okoro , CLE, 23, 58, 36, 22, 27.3, 1.7, 1.0, 2.9, 4.4, 9.7, 6.6, 7.7, 26.9, 0.6, 0.6, 2.1, 1.8
146, Jabari Walker , POR, 21, 58, 16, 42, 22.0, 1.4, 2.2, 0.7, 5.0, 9.1, 6.8, 8.5, 25.2, 0.4, 0.8, 2.3, 1.8
